,brand,model,price,year,transmission,fuelConsumption,tax,mileage,fueltype,color,variant
28353,BMW, X3,"£29,960",2019,Semi-Auto,54.3 mpg,Tax: £180,"Mileage: 16,273",Diesel,silver,3 xDrive20d M Sport 5dr Step Auto
28354,BMW, X3,"£33,190",2020,Semi-Auto,48.7 mpg,Tax: £180,"Mileage: 39,106",Diesel,silver,3 xDrive30d M Sport 5dr Step Auto
28355,BMW, X1,"£17,157",2018,Semi-Auto,38.2 mpg,Tax: £180,"Mileage: 18,135",Petrol,silver,1 sDrive 20i SE 5dr Step Auto
28441,BMW, 3 Series,"£23,157",2020,Semi-Auto,40.4 mpg,Tax: £180,"Mileage: 40,309",Petrol,silver,320i Sport 5dr Step Auto
28442,BMW, 3 Series,"£16,157",2019,Semi-Auto,60.1 mpg,Tax: £180,"Mileage: 59,032",Diesel,silver,320d xDrive M Sport 5dr Step Auto [Business Media]
28443,BMW, 2 Series,"£24,499",2021,Semi-Auto,42.8 mpg,Tax: £180,"Mileage: 10,000",Petrol,silver,218i [136] Luxury 5dr Step Auto
28444,BMW, 1 Series,"£9,995",2018,Manual,78.5 mpg,Tax: £180,"Mileage: 87,500",Diesel,silver,1.5 116D SE BUSINESS 5d 114 BHP
28445,BMW, X3,"£38,750",2021,Other,30.4 mpg,Tax: £180,"Mileage: 17,290",Petrol,silver,xDrive20i MHT M Sport 5dr
28446,BMW, M2,"£35,750",2019,Other,28.5 mpg,Tax: £180,"Mileage: 22,604",Petrol,silver,M2 Competition 2dr
28447,BMW, X3,"£27,200",2019,Other,54.3 mpg,Tax: £180,"Mileage: 35,201",Diesel,silver,xDrive20d M Sport 5dr Ste
28448,BMW, 4 Series,"£22,700",2017,Other,41.5 mpg,Tax: £180,"Mileage: 51,255",Petrol,silver,440i M Sport 5dr Auto [Pr
28449,BMW, X3,"£28,800",2019,Semi-Auto,30.4 mpg,Tax: £180,"Mileage: 34,175",Petrol,silver,3 xDrive20i M Sport 5dr Step Auto
28450,BMW, X5,"£32,500",2018,Automatic,47.1 mpg,Tax: £180,"Mileage: 41,435",Diesel,silver,5 xDrive40d M Sport 5dr Auto [7 Seat]
28530,BMW, X3,"£28,550",2020,Other,54.3 mpg,Tax: £180,"Mileage: 25,439",Diesel,silver,xDrive20d M Sport 5dr Ste
