,brand,model,price,year,transmission,fuelConsumption,tax,mileage,fueltype,color,variant
17358,Volvo, XC40,"£30,500",2020,Semi-Auto,31.0 mpg,Tax: £180,"Mileage: 10,145",Petrol,grey,2.0 T5 Inscription Pro 5dr AWD Geartronic
17359,Volvo, XC60,"£43,995",2023,Automatic,35.8 mpg,Tax: £170,"Mileage: 2,500",Petrol,grey,"Plus, B5 AWD mild hybrid, Petrol, Dark"
17360,Volvo, S60,"£32,995",2023,Automatic,39.8 mpg,Tax: £170,"Mileage: 5,000",Petrol,grey,"Plus, B5 AWD mild hybrid, Petrol, Dark"
17446,Volvo, V90,"£37,495",2023,Automatic,49.6 mpg,Tax: £170,"Mileage: 5,500",Diesel,grey,"Plus, B4 mild hybrid, Diesel, Dark"
17447,Volvo, V90,"£26,995",2019,Automatic,33.2 mpg,Tax: £180,"Mileage: 11,961",Petrol,grey,T4 R-Design Plus Automatic
17448,Volvo, XC40,"£29,995",2018,Automatic,42.8 mpg,Tax: £180,"Mileage: 14,468",Diesel,grey,D4 AWD First Edition wk06 Automatic
17449,Volvo, XC90,"£45,995",2021,Automatic,100.9 mpg,Tax: £170,"Mileage: 26,073",Hybrid,grey,"Recharge Inscription, T8 AWD plug-in hybrid, 7 Seats"
17450,Volvo, V90,"£33,495",2020,Automatic,166.2 mpg,Tax: £170,"Mileage: 31,253",Petrol,grey,T8 Twin Engine AWD R-Design Plus Automatic
17451,Volvo, XC60,"£29,995",2019,Automatic,122.8 mpg,Tax: £170,"Mileage: 49,708",Petrol,grey,T8 Twin Engine AWD Inscription Pro Automatic
17452,Volvo, XC90,"£39,995",2020,Automatic,113.0 mpg,Tax: £170,"Mileage: 56,258",Petrol,grey,T8 Twin Engine AWD Inscription Pro Automatic
17453,Volvo, XC90,"£37,089",2019,Automatic,37.7 mpg,Tax: £180,"Mileage: 18,788",Hybrid,grey,2.0 B5 MHEV R-Design SUV 5dr Diesel Hybrid Auto 4WD Euro 6 (s/s) (235 ps)
17454,Volvo, XC60,"£24,345",2019,Automatic,34.0 mpg,Tax: £180,"Mileage: 30,743",Petrol,grey,2.0 T4 Edition SUV 5dr Petrol Auto Euro 6 (s/s) (190 ps)
17455,Volvo, XC60,"£24,958",2018,Automatic,37.8 mpg,Tax: £180,"Mileage: 38,732",Petrol,grey,2.0 T5 R-Design SUV 5dr Petrol Auto AWD Euro 6 (s/s) (250 ps)
17538,Volvo, XC90,"£32,197",2019,Automatic,37.7 mpg,Tax: £180,"Mileage: 62,303",Hybrid,grey,2.0 B5 MHEV Inscription SUV 5dr Diesel Hybrid Auto 4WD Euro 6 (s/s) (235 ps)
17539,Volvo, XC90,"£50,221",2022,Automatic,32.5 mpg,Tax: £170,"Mileage: 7,160",Hybrid,grey,2.0 B5 MHEV Plus SUV 5dr Petrol Hybrid Auto 4WD Euro 6 (s/s) (250 ps)
17540,Volvo, S90,"£14,444",2017,Automatic,64.2 mpg,Tax: £35,"Mileage: 75,981",Diesel,grey,2.0 D4 R-Design Saloon 4dr Diesel Auto Euro 6 (s/s) (190 ps)
17541,Volvo, S90,"£32,980",2022,Semi-Auto,148.7 mpg,Tax: £170,"Mileage: 19,386",Hybrid,grey,2.0 T8 Recharge PHEV R DESIGN 4dr AWD Auto
17542,Volvo, XC60,"£29,980",2019,Semi-Auto,122.8 mpg,Tax: £170,"Mileage: 42,790",Hybrid,grey,2.0 T8 390 Hybrid Inscription Pro 5dr AWD G tronic
17543,Volvo, XC40,"£17,690",2018,Manual,58.9 mpg,Tax: £180,"Mileage: 63,935",Diesel,grey,2.0 D3 Inscription 5dr
17544,Volvo, XC60,"£31,700",2020,Automatic,36.7 mpg,Tax: £170,"Mileage: 22,768",Hybrid,grey,"2.0 B5 MHEV R-Design SUV 5dr Petrol Hybrid Auto AWD Euro 6 (s/s) (250 ps) All Wheel Drive,Full"
17545,Volvo, XC60,"£30,500",2020,Automatic,108.7 mpg,Tax: £170,"Mileage: 43,811",Hybrid,grey,2.0 T8 Twin Engine Recharge 11.6kWh Inscription Pro SUV 5dr Petrol Plug-in Hybrid Auto AWD Euro 6
17631,Volvo, V90,"£22,100",2018,Automatic,57.7 mpg,Tax: £180,"Mileage: 56,649",Diesel,grey,"2.0 D5 PowerPulse R-Design Pro Estate 5dr Diesel Auto AWD Euro 6 (s/s) (235 ps) Part Leather,Heads"
17632,Volvo, XC60,"£31,700",2020,Automatic,36.7 mpg,Tax: £170,"Mileage: 22,768",Hybrid,grey,"2.0 B5 MHEV R-Design SUV 5dr Petrol Hybrid Auto AWD Euro 6 (s/s) (250 ps) All Wheel Drive,Full"
17633,Volvo, S90,"£18,100",2019,Automatic,33.2 mpg,Tax: £180,"Mileage: 33,691",Petrol,grey,"2.0 T4 Momentum Plus Saloon 4dr Petrol Auto Euro 6 (s/s) (190 ps) Full Leather,Sat Nav"
17634,Volvo, V40,"£15,200",2019,Automatic,47.9 mpg,Tax: £180,"Mileage: 36,571",Petrol,grey,"1.5 T3 R-Design Edition Hatchback 5dr Petrol Auto Euro 6 (s/s) (152 ps) Full Leather,Sat Nav"
17635,Volvo, XC40,"£40,000",2023,Semi-Auto,38.7 mpg,Tax: £170,"Mileage: 5,000",Hybrid,grey,2.0 B4P Ultimate Dark 5dr Auto
17636,Volvo, XC90,"£49,870",2022,Semi-Auto,31.0 mpg,Tax: £170,"Mileage: 5,956",Hybrid,grey,2.0 B5P [250] Inscription Pro 5dr AWD Gtron
17637,Volvo, V90,"£38,086",2023,Semi-Auto,39.8 mpg,Tax: £170,"Mileage: 7,000",Hybrid,grey,2.0 B5P Plus Dark 5dr Auto
17638,Volvo, S60,"£33,121",2023,Automatic,41.5 mpg,Tax: £170,"Mileage: 8,000",Hybrid,grey,2.0 B5P Ultimate Dark 4dr Auto
17639,Volvo, XC60,"£43,370",2021,Semi-Auto,44.8 mpg,Tax: £170,"Mileage: 9,575",Diesel,grey,2.0 B4D R DESIGN Pro 5dr AWD Geartronic
17719,Volvo, S90,"£33,501",2021,Semi-Auto,148.7 mpg,Tax: £170,"Mileage: 13,568",Hybrid,grey,2.0 T8 Recharge PHEV R DESIGN 4dr AWD Auto
17720,Volvo, XC90,"£47,628",2022,Semi-Auto,40.4 mpg,Tax: £170,"Mileage: 19,215",Diesel,grey,2.0 B5D [235] R DESIGN Pro 5dr AWD Geartronic
17721,Volvo, XC40,"£29,163",2021,Semi-Auto,39.2 mpg,Tax: £170,"Mileage: 19,356",Hybrid,grey,2.0 B4P Inscription Pro 5dr Auto
17722,Volvo, XC60,"£40,985",2022,Semi-Auto,44.8 mpg,Tax: £170,"Mileage: 19,871",Diesel,grey,2.0 B4D Inscription Pro 5dr AWD Geartronic
17723,Volvo, XC60,"£29,432",2020,Semi-Auto,36.2 mpg,Tax: £170,"Mileage: 25,136",Hybrid,grey,2.0 B5P [250] Momentum Pro 5dr AWD Geartronic
