,brand,model,price,year,transmission,fuelConsumption,tax,mileage,fueltype,color,variant
23366,Audi, A3,"£25,890",2022,Semi-Auto,46.3 mpg,Tax: £170,"Mileage: 20,289",Petrol,red,3 35 TFSI Edition 1 5dr S Tronic
23367,Audi, Q2,"£19,590",2020,Manual,43.5 mpg,Tax: £180,"Mileage: 21,011",Petrol,red,35 TFSI S Line 5dr
23368,Audi, Q5,"£29,990",2020,Semi-Auto,32.1 mpg,Tax: £180,"Mileage: 35,321",Petrol,red,45 TFSI Quattro Black Edition 5dr S Tronic
23369,Audi, Q7,"£41,090",2020,Semi-Auto,33.2 mpg,Tax: £170,"Mileage: 61,889",Diesel,red,50 TDI Quattro Black Edition 5dr Tiptronic
23370,Audi, SQ7,"£58,500",2022,Automatic,23.3 mpg,Tax: £180,"Mileage: 6,294",Petrol,red,"4.0 TFSI V8 Tiptronic quattro Euro 6 (s/s) 5dr 21s, VAT Q, PRIVACY GLASS"
23371,Audi, Q2,"£23,000",2021,Manual,44.8 mpg,Tax: £180,"Mileage: 18,944",Petrol,red,"1.5 TFSI CoD 35 Black Edition Euro 6 (s/s) 5dr 19s, SATNAV, BLACK PACK"
23456,Audi, Q7,"£39,000",2020,Automatic,33.2 mpg,Tax: £170,"Mileage: 34,597",Diesel,red,"3.0 TDI V6 50 S line Tiptronic quattro Euro 6 (s/s) 5dr 20s, VIRTUAL COCKPIT, PRIVACY"
23457,Audi, A3,"£32,990",2023,Semi-Auto,46.3 mpg,Tax: £170,"Mileage: 3,000",Petrol,red,3 35 TFSI S Line 5dr S Tronic
23458,Audi, Q2,"£23,690",2021,Semi-Auto,44.8 mpg,Tax: £180,"Mileage: 19,465",Petrol,red,35 TFSI S Line 5dr S Tronic
23459,Audi, A1,"£14,000",2020,Manual,47.9 mpg,Tax: £180,"Mileage: 84,540",Petrol,red,1.0 TFSI 30 S line Sportback Euro 6 (s/s) 5dr £1120 WORTH OF OPTIONAL EXTRAS
23460,Audi, TT,"£28,999",2022,Semi-Auto,35.3 mpg,Tax: £180,"Mileage: 15,000",Petrol,red,45 TFSI Quattro S Line 2dr S Tronic
23461,Audi, A5,"£22,562",2020,Semi-Auto,39.8 mpg,Tax: £170,"Mileage: 14,378",Petrol,red,35 TFSI Black Edition 2dr S Tronic
23462,Audi, A3,"£28,000",2023,Semi-Auto,47.9 mpg,Tax: £170,Mileage: 10,Petrol,red,3 35 TFSI S Line 4dr S Tronic
23463,Audi, TT,"£34,000",2023,Semi-Auto,40.9 mpg,Tax: £180,Mileage: 350,Petrol,red,40 TFSI Black Edition 2dr S Tronic
23464,Audi, TT,"£33,500",2023,Semi-Auto,41.5 mpg,Tax: £180,Mileage: 450,Petrol,red,40 TFSI Final Edition 2dr S Tronic
23547,Audi, A1,"£28,000",2023,Semi-Auto,47.1 mpg,Tax: £180,Mileage: 484,Petrol,red,35 TFSI Black Edition 5dr S Tronic
23548,Audi, TT,"£27,500",2021,Semi-Auto,41.5 mpg,Tax: £180,"Mileage: 2,602",Petrol,red,40 TFSI S Line 2dr S Tronic
23549,Audi, A4,"£53,000",2023,Semi-Auto,38.2 mpg,Tax: £170,"Mileage: 3,120",Diesel,red,4 S4 TDI 341 Quattro Vorsprung 5dr Tiptronic
23550,Audi, A1,"£24,500",2023,Manual,47.9 mpg,Tax: £180,"Mileage: 6,725",Petrol,red,25 TFSI Black Edition 5dr
23551,Audi, A4,"£38,000",2022,Semi-Auto,39.8 mpg,Tax: £170,"Mileage: 13,178",Diesel,red,4 S4 TDI 341 Quattro Black Edition 4dr Tiptronic
23552,Audi, A1,"£15,000",2018,Manual,54.3 mpg,Tax: £180,"Mileage: 38,281",Petrol,red,1.4 TFSI 125 Black Edition Nav 5dr
23553,Audi, A1,"£20,500",2019,Automatic,44.8 mpg,Tax: £180,"Mileage: 17,668",Petrol,red,35 1.5TFSI S Line 5dr S Tronic Auto - 17668 miles 1 Owners Full Service History
23554,Audi, A1,"£26,995",2023,Semi-Auto,46.3 mpg,Tax: £180,"Mileage: 3,000",Petrol,red,30 TFSI 110 Black Edition 5dr S Tronic
23555,Audi, TT,"£37,990",2023,Semi-Auto,36.2 mpg,Tax: £180,"Mileage: 3,500",Petrol,red,45 TFSI Quattro Black Edition 2dr S Tronic
23556,Audi, Q3,"£26,995",2019,Semi-Auto,31.7 mpg,Tax: £180,"Mileage: 21,815",Petrol,red,40 TFSI Quattro S Line 5dr S Tronic
23640,Audi, A3,"£24,999",2021,Semi-Auto,46.3 mpg,Tax: £170,"Mileage: 6,856",Petrol,red,3 35 TFSI S line 5dr S Tronic
23641,Audi, RS Q3,"£47,800",2022,Semi-Auto,29.4 mpg,Tax: £180,"Mileage: 4,612",Petrol,red,RS Q3 TFSI Quattro 5dr S Tronic
23642,Audi, A3,"£22,900",2020,Semi-Auto,47.9 mpg,Tax: £170,"Mileage: 26,180",Petrol,red,3 35 TFSI S Line 4dr S Tronic
