,brand,model,price,year,transmission,fuelConsumption,tax,mileage,fueltype,color,variant
16087,Ford, Mondeo,"£9,900",2018,Manual,48.7 mpg,Tax: £180,"Mileage: 72,138",Petrol,grey,"1.5T EcoBoost Titanium Hatchback 5dr Petrol Manual Euro 6 (s/s) (160 ps) Full Leather,Android Auto"
16088,Ford, EcoSport,"£10,400",2019,Manual,53.3 mpg,Tax: £180,"Mileage: 41,784",Petrol,grey,"1.0T EcoBoost GPF Titanium SUV 5dr Petrol Manual Euro 6 (s/s) (125 ps) Part Leather,Android Auto"
16089,Ford, EcoSport,"£9,200",2019,Manual,53.3 mpg,Tax: £180,"Mileage: 66,839",Petrol,grey,"1.0T EcoBoost GPF Titanium SUV 5dr Petrol Manual Euro 6 (s/s) (125 ps) Part Leather,Android Auto"
16090,Ford, S-MAX,"£13,400",2017,Automatic,52.3 mpg,Tax: £180,"Mileage: 67,041",Diesel,grey,"2.0 TDCi Titanium MPV 5dr Diesel Powershift Euro 6 (s/s) (150 ps) Third Row Seats,Android Auto"
16091,Ford, Fiesta,"£7,600",2018,Manual,65.7 mpg,Tax: £180,"Mileage: 68,577",Petrol,grey,"1.0T EcoBoost Titanium Hatchback 3dr Petrol Manual Euro 6 (s/s) (125 ps) Android Auto,Apple CarPlay"
16092,Ford, Fiesta,"£11,100",2020,Manual,54.3 mpg,Tax: £180,"Mileage: 42,965",Petrol,grey,"1.0T EcoBoost Titanium X Hatchback 5dr Petrol Manual Euro 6 (s/s) (95 ps) Part Leather,Android Auto"
16093,Ford, EcoSport,"£12,000",2020,Manual,52.3 mpg,Tax: £180,"Mileage: 30,510",Petrol,grey,"1.0T EcoBoost ST-Line Black SUV 5dr Petrol Manual Euro 6 (s/s) (140 ps) Part Leather,Android Auto"
16094,Ford, Focus,"£9,295",2018,Manual,57.7 mpg,Tax: £180,"Mileage: 60,000",Petrol,grey,T EcoBoost ST-Line
16095,Ford, C-MAX,"£15,995",2019,Automatic,36.7 mpg,Tax: £180,"Mileage: 11,500",Petrol,grey,TITANIUM
16176,Ford, Fiesta,"£11,499",2019,Manual,58.9 mpg,Tax: £180,"Mileage: 18,743",Petrol,grey,a 1.0 EcoBoost 125 ST-Line 5dr
16177,Ford, Puma,"£19,842",2022,Manual,50.4 mpg,Tax: £170,"Mileage: 9,860",Petrol,grey,a 1.0 EcoBoost Hybrid mHEV ST-Line X 5dr
16178,Ford, Puma,"£18,415",2021,Semi-Auto,46.3 mpg,Tax: £180,"Mileage: 10,041",Petrol,grey,a 1.0 EcoBoost Titanium 5dr Auto
16179,Ford, Focus,"£15,800",2022,Manual,55.4 mpg,Tax: £170,"Mileage: 10,172",Petrol,grey,s 1.0 EcoBoost Hybrid mHEV 125 Titanium Edition 5dr
16180,Ford, Puma,"£17,426",2020,Manual,50.4 mpg,Tax: £170,"Mileage: 10,323",Petrol,grey,a 1.0 EcoBoost Hybrid mHEV ST-Line X First Ed 5dr
16181,Ford, Fiesta,"£15,000",2021,Manual,52.3 mpg,Tax: £170,"Mileage: 12,026",Petrol,grey,a 1.0 EcoBoost Hybrid mHEV 155 ST-Line X Edition 5dr
16182,Ford, Fiesta,"£14,396",2020,Manual,55.4 mpg,Tax: £170,"Mileage: 12,154",Petrol,grey,a 1.0 EcoBoost Hybrid mHEV 125 Vignale Edition 5dr
16183,Ford, Kuga,"£21,200",2021,Manual,56.5 mpg,Tax: £170,"Mileage: 14,935",Diesel,grey,a 2.0 EcoBlue mHEV ST-Line Edition 5dr
16184,Ford, Focus,"£14,150",2020,Manual,55.4 mpg,Tax: £170,"Mileage: 20,026",Petrol,grey,s 1.0 EcoBoost Hybrid mHEV 125 Titanium Edition 5dr
16185,Ford, Focus,"£17,000",2021,Manual,53.3 mpg,Tax: £170,"Mileage: 20,692",Petrol,grey,s 1.0 EcoBoost Hybrid mHEV 125 ST-Line X Edition 5dr
16269,Ford, Kuga,"£19,100",2021,Manual,57.7 mpg,Tax: £180,"Mileage: 25,575",Diesel,grey,a 1.5 EcoBlue ST-Line Edition 5dr
16270,Ford, Focus,"£10,100",2019,Manual,58.9 mpg,Tax: £180,"Mileage: 55,856",Petrol,grey,1.0 EcoBoost 125ps Zetec SATN
16271,Ford, Focus,"£18,750",2021,Automatic,50.4 mpg,Tax: £180,"Mileage: 16,185",Petrol,grey,s Vignale 1.0 EcoBoost 125 5dr Auto
16272,Ford, Fiesta,"£19,299",2023,Manual,56.5 mpg,Tax: £170,Mileage: 246,Hybrid,grey,a 1.0 EcoBoost Hybrid mHEV 125 Titanium 5dr
16273,Ford, Fiesta,"£18,799",2023,Manual,56.5 mpg,Tax: £170,"Mileage: 2,890",Hybrid,grey,a 1.0 EcoBoost Hybrid mHEV 125 Titanium 5dr
16274,Ford, Puma,"£20,000",2021,Semi-Auto,46.3 mpg,Tax: £180,"Mileage: 8,287",Petrol,grey,a 1.0 EcoBoost Titanium 5dr Auto
16275,Ford, Focus,"£18,499",2021,Manual,53.3 mpg,Tax: £170,"Mileage: 11,467",Petrol,grey,s 1.0 EcoBoost Hybrid mHEV 125 ST-Line X Edition 5dr
16276,Ford, Kuga,"£17,499",2019,Automatic,29.4 mpg,Tax: £180,"Mileage: 20,775",Petrol,grey,a 1.5 EcoBoost Titanium X Edition 5dr Auto 2WD
16277,Ford, Kuga,"£20,499",2021,Manual,56.5 mpg,Tax: £170,"Mileage: 21,052",Diesel,grey,a 2.0 EcoBlue mHEV ST-Line Edition 5dr
16278,Ford, Kuga,"£20,499",2021,Manual,41.5 mpg,Tax: £180,"Mileage: 29,350",Petrol,grey,a 1.5 EcoBoost 150 ST-Line Edition 5dr
16364,Ford, Kuga,"£15,899",2018,Semi-Auto,47.9 mpg,Tax: £180,"Mileage: 41,885",Diesel,grey,a 2.0 TDCi ST-Line 5dr Auto 2WD
16365,Ford, Puma,"£19,799",2022,Manual,49.6 mpg,Tax: £170,"Mileage: 8,828",Petrol,grey,a 1.0 EcoBoost Hybrid mHEV 155 ST-Line X 5dr
16366,Ford, Fiesta,"£15,790",2020,Manual,40.3 mpg,Tax: £180,"Mileage: 9,372",Petrol,grey,a 1.5 EcoBoost ST-2 3dr
16367,Ford, Tourneo Custom,"£34,690",2021,Manual,35.3 mpg,Tax: £180,"Mileage: 18,937",Diesel,grey,2.0 EcoBlue 130ps Low Roof 8 Seater Titanium
16368,Ford, Focus,"£16,480",2020,Automatic,50.4 mpg,Tax: £180,"Mileage: 24,000",Petrol,grey,"1.0T EcoBoost Vignale Auto Euro 6 (s/s) 5dr Full Ford Service,1Owner F/New"
16369,Ford, Focus,"£22,087",2023,Manual,50.4 mpg,Tax: £180,"Mileage: 4,281",Petrol,grey,1.0 EcoBoost ST-Line X 5dr
16370,Ford, EcoSport,"£16,098",2022,Manual,47.1 mpg,Tax: £180,"Mileage: 7,112",Petrol,grey,1.0 EcoBoost 140 ST-Line 5dr
16371,Ford, EcoSport,"£16,538",2022,Manual,47.1 mpg,Tax: £180,"Mileage: 7,698",Petrol,grey,1.0 EcoBoost 125 ST-Line 5dr
16372,Ford, EcoSport,"£15,688",2022,Manual,47.9 mpg,Tax: £180,"Mileage: 8,576",Petrol,grey,1.0 EcoBoost 125 Titanium 5dr
16451,Ford, Fiesta,"£13,040",2020,Manual,56.5 mpg,Tax: £170,"Mileage: 12,701",Petrol,grey,1.0 EcoBoost Hybrid mHEV 125 Titanium 5dr
16452,Ford, Fiesta,"£14,177",2020,Manual,55.4 mpg,Tax: £180,"Mileage: 15,775",Petrol,grey,1.0 EcoBoost 125 Vignale Edition 5dr
16453,Ford, Transit Custom,"£39,999",2023,Manual,38.7 mpg,Tax: £320,"Mileage: 1,000",Diesel,grey,2.0 EcoBlue L1 Nugget Trend 4dr
16454,Ford, Fiesta,"£14,736",2022,Manual,53.3 mpg,Tax: £180,"Mileage: 4,967",Petrol,grey,1.0 EcoBoost Titanium 5dr
16455,Ford, Puma,"£16,990",2021,Manual,49.6 mpg,Tax: £170,"Mileage: 7,831",Petrol,grey,a 1.0 EcoBoost Hybrid mHEV 155 ST-Line X 5dr
