,brand,model,price,year,transmission,fuelConsumption,tax,mileage,fueltype,color,variant
9744,Kia, Venga,"£10,495",2017,Manual,47.9 mpg,Tax: £180,"Mileage: 18,627",Petrol,blue,1.6 ISG 3 5dr
9745,Kia, Sportage,"£13,495",2018,Manual,44.8 mpg,Tax: £180,"Mileage: 35,010",Petrol,blue,e 1.6 GDi ISG 2 5dr
9746,Kia, Picanto,"£7,000",2017,Manual,64.2 mpg,Tax: £180,"Mileage: 51,127",Petrol,blue,1.0 2 Hatchback 5dr Petrol Manual Euro 6 (66 bhp)
9747,Kia, Sportage,"£24,350",2020,Automatic,32.1 mpg,Tax: £180,"Mileage: 11,127",Petrol,blue,e 1.6T GDi GT-Line S 5dr DCT Auto [AWD]
9748,Kia, Sportage,"£18,500",2020,Manual,32.1 mpg,Tax: £180,"Mileage: 27,608",Petrol,blue,e 1.6T GDi ISG 3 5dr [AWD]
9749,Kia, Xceed,"£22,500",2023,Manual,44.8 mpg,Tax: £180,"Mileage: 7,346",Petrol,blue,1.5T GDi ISG GT-Line S 5dr
9832,Kia, Pro Ceed,"£22,995",2023,Manual,48.7 mpg,Tax: £180,"Mileage: 14,195",Petrol,blue,1.5T GDi ISG GT-Line 5dr
9833,Kia, Xceed,"£15,490",2021,Manual,47.1 mpg,Tax: £180,"Mileage: 12,338",Petrol,blue,1.0 T-GDi (118bhp) ISG
9834,Kia, Pro Ceed,"£19,490",2020,Semi-Auto,44.1 mpg,Tax: £180,"Mileage: 25,890",Petrol,blue,1.4 T-GDi (138bhp) GT-Line S ISG DCT
9835,Kia, Niro,"£15,790",2017,Semi-Auto,65.7 mpg,Tax: £170,"Mileage: 42,566",Hybrid,blue,1.6h GDi 4 SUV 5dr Hybrid DCT Euro 6 (s/s)
9836,Kia, Niro,"£21,500",2022,Automatic,65.7 mpg,Tax: £170,"Mileage: 32,121",Hybrid,blue,KIA NIRO 1.6 GDi Hybrid 4 5dr DCT
9837,Kia, Sportage,"£14,990",2019,Manual,46.3 mpg,Tax: £180,"Mileage: 45,533",Diesel,blue,1.6 CRDi ISG GT-Line 5dr FULL SERVICE HISTORY 
9838,Kia, Niro,"£24,000",2020,Automatic,54.3 mpg,Tax: £170,"Mileage: 13,150",Hybrid,blue,1.6 GDi PHEV 3 5dr DCT
9839,Kia, Sportage,"£10,179",2017,Manual,61.4 mpg,Tax: £180,"Mileage: 61,377",Diesel,blue,CRDi 2
9840,Kia, Sportage,"£18,800",2018,Automatic,32.5 mpg,Tax: £180,"Mileage: 29,319",Petrol,blue,e 1.6T GDi ISG GT-Line 5dr DCT Auto [AWD]
9841,Kia, Sportage,"£20,995",2021,Automatic,47.9 mpg,Tax: £170,"Mileage: 19,502",Hybrid,blue,e 1.6 CRDi 48V ISG 3 5dr DCT Auto
9928,Kia, Picanto,"£8,800",2019,Manual,54.3 mpg,Tax: £180,"Mileage: 48,110",Petrol,blue,1.25 X-Line Euro 6 5dr REVERSING CAMERA SVC HISTORY
9929,Kia, Picanto,"£10,342",2020,Manual,54.3 mpg,Tax: £180,"Mileage: 7,871",Petrol,blue,1.0 2 5dr [4 seats]
9930,Kia, Sportage,"£27,956",2022,Manual,41.5 mpg,Tax: £180,"Mileage: 4,500",Petrol,blue,e 1.6T GDi ISG GT-Line 5dr
9931,Kia, Sportage,"£33,850",2022,Automatic,48.7 mpg,Tax: £170,"Mileage: 5,518",Hybrid,blue,e 1.6T GDi HEV 4 5dr Auto
9932,Kia, Xceed,"£19,800",2023,Manual,44.8 mpg,Tax: £180,"Mileage: 10,725",Petrol,blue,1.5T GDi ISG GT-Line 5dr
9933,Kia, Sportage,"£26,775",2023,Manual,41.5 mpg,Tax: £180,"Mileage: 12,100",Petrol,blue,e 1.6T GDi ISG GT-Line 5dr
9934,Kia, Picanto,"£9,695",2021,Manual,58.9 mpg,Tax: £180,"Mileage: 10,500",Petrol,blue,1.0 1 5dr [4 seats]
9935,Kia, Stonic,"£18,295",2021,Manual,50.4 mpg,Tax: £170,"Mileage: 13,000",Hybrid,blue,1.0T GDi 48V GT-Line S 5dr
9936,Kia, Picanto,"£8,295",2019,Manual,56.5 mpg,Tax: £180,"Mileage: 18,500",Petrol,blue,1.0 1 5dr
10020,Kia, Stonic,"£18,790",2023,Manual,50.4 mpg,Tax: £170,"Mileage: 7,870",Hybrid,blue,1.0T GDi 48V GT-Line 5dr
10021,Kia, Xceed,"£15,990",2020,Manual,44.1 mpg,Tax: £180,"Mileage: 11,951",Petrol,blue,1.0T GDi ISG Edition 5dr
10022,Kia, Sportage,"£20,990",2020,Manual,32.1 mpg,Tax: £180,"Mileage: 14,318",Petrol,blue,e 1.6T GDi ISG 3 5dr [AWD]
10023,Kia, Venga,"£10,490",2018,Manual,47.9 mpg,Tax: £180,"Mileage: 46,803",Petrol,blue,1.6 ISG 3 5dr
10024,Kia, Venga,"£11,690",2018,Automatic,43.4 mpg,Tax: £180,"Mileage: 47,258",Petrol,blue,1.6 3 5dr Auto [6]
