brand,price,mileage,transmission,year,fuel,performance,emission
brand,price,mileage,transmission,year,fuel,performance,emission
Hyundai,17400,110.752 km,Schaltgetriebe,07/2017,Benzin,130 kW (177 PS),- (g/km)
Mercedes-Benz,36900,29.702 km,Automatik,05/2019,Benzin,135 kW (184 PS),"189 g/km (komb.) | 8,3 l/100 km (komb.)"
Mazda,14600,114.029 km,Schaltgetriebe,08/2011,Diesel,105 kW (143 PS),"255 g/km (komb.) | 9,3 l/100 km (komb.)"
Alpina,299890,48.034 km,Schaltgetriebe,06/1994,Benzin,306 kW (416 PS),"- (g/km) | 9,3 l/100 km (komb.)"
Kia,32979,5 km,Automatik,- (Erstzulassung),Benzin,150 kW (204 PS),"147 g/km (komb.) | 6,5 l/100 km (komb.)"
Volkswagen,25900,17.750 km,Automatik,12/2021,Elektro,125 kW (170 PS),0 g/km (komb.)
Kia,23479,12.202 km,Automatik,03/2023,Benzin,118 kW (160 PS),"132 g/km (komb.) | 5,8 l/100 km (komb.)"
Lotus,112870,21 km,Automatik,- (Erstzulassung),Benzin,298 kW (405 PS),"258 g/km (komb.) | 11,4 l/100 km (komb.)"
Audi,19980,72.100 km,Automatik,03/2017,Benzin,110 kW (150 PS),"143 g/km (komb.) | 6,2 l/100 km (komb.)"
Skoda,16750,53.080 km,Schaltgetriebe,07/2020,Benzin,70 kW (95 PS),"116 g/km (komb.) | 5,1 l/100 km (komb.)"
Hyundai,16490,40.300 km,Automatik,09/2017,Elektro/Benzin,104 kW (141 PS),"97 g/km (komb.) | 4,2 l/100 km (komb.)"
Hyundai,15990,43.600 km,Schaltgetriebe,07/2019,Benzin,88 kW (120 PS),- (g/km)
Mercedes-Benz AMG,46990,85.150 km,Automatik,07/2018,Benzin,270 kW (367 PS),"220 g/km (komb.) | 9,6 l/100 km (komb.)"
BMW,29970,28.889 km,Automatik,06/2020,Diesel,170 kW (231 PS),"136 g/km (komb.) | 5,2 l/100 km (komb.)"
Kia,19850,15.000 km,Schaltgetriebe,05/2019,Benzin,103 kW (140 PS),"130 g/km (komb.) | 5,7 l/100 km (komb.)"
Kia,13749,138.450 km,Schaltgetriebe,02/2019,Diesel,100 kW (136 PS),"132 g/km (komb.) | 3,9 l/100 km (komb.)"
Mercedes-Benz,24999,86.000 km,Automatik,02/2017,Benzin,155 kW (211 PS),"123 g/km (komb.) | 5,3 l/100 km (komb.)"
brand,price,mileage,transmission,year,fuel,performance,emission
Audi,19740,85.300 km,Automatik,02/2016,Diesel,110 kW (150 PS),"133 g/km (komb.) | 5,3 l/100 km (komb.)"
Opel,8800,33.166 km,Schaltgetriebe,09/1969,Benzin,44 kW (60 PS),- (g/km)
Toyota,12350,122.150 km,Schaltgetriebe,02/2014,Benzin,97 kW (132 PS),"140 g/km (komb.) | 6,1 l/100 km (komb.)"
SEAT,9999,122.932 km,Schaltgetriebe,05/2012,Benzin,110 kW (150 PS),"171 g/km (komb.) | 7,2 l/100 km (komb.)"
