,brand,model,price,year,transmission,fuelConsumption,tax,mileage,fueltype,color,variant
34368,Citroen, C1,"£9,455",2020,Manual,58.9 mpg,Tax: £180,"Mileage: 6,374",Petrol,white,1 1.0 VTi 72 JCC+ 5dr
34369,Citroen, C1,"£8,974",2020,Manual,58.9 mpg,Tax: £180,"Mileage: 9,993",Petrol,white,1 1.0 VTi 72 Flair 5dr
34370,Citroen, C1,"£9,019",2021,Manual,58.9 mpg,Tax: £180,"Mileage: 10,913",Petrol,white,1 1.0 VTi 72 Shine 5dr
34371,Citroen, C3,"£10,921",2020,Manual,51.4 mpg,Tax: £180,"Mileage: 11,204",Petrol,white,3 1.2 PureTech 83 Origins 5dr
34372,Citroen, C3,"£10,715",2021,Manual,54.3 mpg,Tax: £180,"Mileage: 12,375",Petrol,white,3 1.2 PureTech Shine 5dr
34455,Citroen, C3,"£14,640",2021,Manual,51.4 mpg,Tax: n/a,"Mileage: 13,239",Petrol,white,3 Aircross 1.2 PureTech 110 Shine Plus 5dr
34456,Citroen, C3,"£12,501",2020,Manual,51.4 mpg,Tax: £180,"Mileage: 15,074",Petrol,white,3 Aircross 1.2 PureTech 110 Flair 5dr [6 speed]
34457,Citroen, C3,"£12,660",2020,Manual,51.4 mpg,Tax: £180,"Mileage: 15,167",Petrol,white,3 Aircross 1.2 PureTech 110 Flair 5dr [6 speed]
34458,Citroen, C3,"£10,300",2021,Manual,54.3 mpg,Tax: £180,"Mileage: 17,159",Petrol,white,3 1.2 PureTech Shine 5dr
34459,Citroen, C3,"£10,423",2021,Manual,54.3 mpg,Tax: £180,"Mileage: 19,424",Petrol,white,3 1.2 PureTech Shine 5dr
34460,Citroen, C3,"£11,757",2021,Manual,51.4 mpg,Tax: £180,"Mileage: 21,551",Petrol,white,3 Aircross 1.2 PureTech 110 C-Series 5dr
34461,Citroen, C3,"£10,169",2021,Manual,54.3 mpg,Tax: £180,"Mileage: 21,561",Petrol,white,3 1.2 PureTech Shine 5dr
34462,Citroen, C3,"£9,510",2021,Manual,54.3 mpg,Tax: £180,"Mileage: 41,046",Petrol,white,3 1.2 PureTech Shine 5dr
34463,Citroen, C3,"£14,703",2020,Semi-Auto,47.1 mpg,Tax: £180,"Mileage: 10,984",Petrol,white,3 Aircross 1.2 PureTech 130 Flair 5dr EAT6
34464,Citroen, C3,"£10,358",2021,Manual,54.3 mpg,Tax: £180,"Mileage: 18,987",Petrol,white,3 1.2 PureTech Shine 5dr
34551,Citroen, C3,"£10,372",2020,Manual,51.4 mpg,Tax: £180,"Mileage: 20,573",Petrol,white,3 1.2 PureTech 83 Origins 5dr
34552,Citroen, C3,"£9,810",2020,Manual,51.4 mpg,Tax: £180,"Mileage: 22,240",Petrol,white,3 1.2 PureTech 82 Flair 5dr
34553,Citroen, Berlingo,"£14,995",2019,Manual,51.4 mpg,Tax: £180,"Mileage: 26,181",Petrol,white,o 1.2 PureTech Feel M 5dr
34554,Citroen, C1,"£8,965",2021,Manual,58.9 mpg,Tax: £180,"Mileage: 14,267",Petrol,white,1 1.0 VTi 72 Sense 5dr
34555,Citroen, C1,"£8,795",2019,Manual,68.9 mpg,Tax: £180,"Mileage: 20,740",Petrol,white,1 1.0 VTi 72 ELLE 5dr
34556,Citroen, C3,"£10,195",2020,Manual,51.4 mpg,Tax: £180,"Mileage: 31,882",Petrol,white,3 1.2 PureTech 83 Flair Plus 5dr
34557,Citroen, C3,"£10,368",2018,Manual,56.5 mpg,Tax: £180,"Mileage: 29,182",Petrol,white,Aircross Feel Puretech 1.2
34558,Citroen, C1,"£8,699",2020,Manual,58.9 mpg,Tax: £180,"Mileage: 3,800",Petrol,white,1 1.0 VTi 72 Shine 5dr
34559,Citroen, C3,"£12,399",2021,Manual,51.4 mpg,Tax: £180,"Mileage: 15,723",Petrol,white,3 Aircross 1.2 PureTech 110 C-Series 5dr
34560,Citroen, C3,"£12,680",2021,Manual,54.3 mpg,Tax: £180,"Mileage: 6,927",Petrol,white,3 1.2 PureTech Shine Plus 5dr
34645,Citroen, C3,"£12,389",2021,Semi-Auto,50.4 mpg,Tax: £180,"Mileage: 35,514",Petrol,white,3 1.2 PureTech 110 Shine 5dr EAT6
34646,Citroen, C3,"£9,499",2018,Manual,61.4 mpg,Tax: £180,"Mileage: 33,899",Petrol,white,3 1.2 PureTech 110 Flair 5dr
34647,Citroen, C3,"£15,474",2022,Manual,51.4 mpg,Tax: £180,"Mileage: 8,212",Petrol,white,3 Aircross 1.2 PureTech 110 Shine Plus 5dr
34648,Citroen, C3,"£13,995",2021,Manual,54.3 mpg,Tax: £180,"Mileage: 10,736",Petrol,white,3 1.2 PureTech Shine 5dr
34649,Citroen, C4,"£17,995",2021,Manual,54.3 mpg,Tax: £180,"Mileage: 13,500",Petrol,white,4 1.2 PureTech [130] Shine 5dr
34650,Citroen, C3,"£13,532",2022,Manual,54.3 mpg,Tax: £180,"Mileage: 4,052",Petrol,white,3 1.2 PureTech Saint James 5dr
34651,Citroen, C3,"£13,887",2021,Semi-Auto,50.4 mpg,Tax: £180,"Mileage: 13,664",Petrol,white,3 1.2 PureTech 110 Shine 5dr EAT6
34652,Citroen, C5 Aircross,"£25,610",2023,Manual,49.6 mpg,Tax: £180,Mileage: 1,Petrol,white,s 1.2 PureTech C-Series Edition 5dr
34653,Citroen, C3,"£16,812",2023,Manual,53.3 mpg,Tax: £180,Mileage: 2,Petrol,white,3 1.2 PureTech 110 Shine Plus 5dr
34654,Citroen, C3,"£15,885",2022,Manual,53.3 mpg,Tax: £180,"Mileage: 1,493",Petrol,white,3 1.2 PureTech 110 Shine Plus 5dr
34737,Citroen, C3,"£14,530",2022,Manual,51.4 mpg,Tax: £180,"Mileage: 3,750",Petrol,white,3 Aircross 1.2 PureTech 110 C-Series 5dr
34738,Citroen, C3,"£12,222",2021,Manual,51.4 mpg,Tax: £180,"Mileage: 10,567",Petrol,white,3 Aircross 1.2 PureTech 110 Shine 5dr [6 speed]
34739,Citroen, C3,"£10,746",2020,Manual,51.4 mpg,Tax: £180,"Mileage: 14,302",Petrol,white,3 1.2 PureTech 83 Flair Plus 5dr
34740,Citroen, C3,"£12,897",2021,Manual,51.4 mpg,Tax: £180,"Mileage: 19,523",Petrol,white,3 Aircross 1.2 PureTech 110 Shine Plus 5dr
34741,Citroen, C1,"£8,253",2019,Manual,58.9 mpg,Tax: £180,"Mileage: 20,208",Petrol,white,1 1.0 VTi 72 Flair 5dr
34742,Citroen, C5 Aircross,"£19,120",2021,Semi-Auto,156.9 mpg,Tax: £170,"Mileage: 11,420",Hybrid,white,s 1.6 Plug-in Hybrid 225 Shine Plus 5dr e-EAT8
34743,Citroen, C1,"£8,295",2020,Manual,58.9 mpg,Tax: £180,"Mileage: 15,574",Petrol,white,1 1.0 VTi 72 Feel 5dr
