,brand,model,price,year,transmission,fuelConsumption,tax,mileage,fueltype,color,variant
33273,Honda, Jazz,"£12,295",2018,Manual,55.4 mpg,Tax: £180,"Mileage: 45,318",Petrol,white,z 1.3 i-VTEC EX Navi 5dr
33359,Honda, Civic,"£13,095",2019,Manual,80.7 mpg,Tax: £180,"Mileage: 52,091",Diesel,white,c 1.6 i-DTEC SR 5dr
33360,Honda, HRV,"£26,990",2022,Automatic,52.3 mpg,Tax: £155,"Mileage: 4,481",Hybrid,white,1.5 i-MMD (131ps) Elegance eCVT 5-Door
33361,Honda, Jazz,"£21,990",2020,Automatic,61.4 mpg,Tax: £170,"Mileage: 9,101",Hybrid,white,1.5 i-MMD (107ps) EX
33362,Honda, Jazz,"£21,790",2022,Automatic,61.4 mpg,Tax: £170,"Mileage: 20,412",Hybrid,white,1.5 i-MMD (107ps) EX
33363,Honda, Civic,"£14,990",2019,Manual,58.9 mpg,Tax: £180,"Mileage: 22,019",Petrol,white,1.0 VTEC TURBO SR 5-Door
33364,Honda, Jazz,"£14,990",2020,Automatic,47.9 mpg,Tax: £180,"Mileage: 28,081",Petrol,white,1.3 i-VTEC SE 5-Door
33365,Honda, HRV,"£14,990",2018,Manual,42.2 mpg,Tax: £180,"Mileage: 31,458",Petrol,white,1.5 i-VTEC SE (s/s) 5-Door
33366,Honda, Civic,"£17,495",2021,Automatic,43.5 mpg,Tax: £180,"Mileage: 16,650",Petrol,white,VTEC SR
33367,Honda, Civic,"£14,500",2020,Manual,58.9 mpg,Tax: £180,"Mileage: 7,000",Petrol,white,c 1.0 VTEC Turbo 126 SE 5dr
33368,Honda, Jazz,"£21,636",2021,Automatic,58.9 mpg,Tax: £170,"Mileage: 1,406",Hybrid,white,z 1.5 i-MMD Hybrid Crosstar EX 5dr eCVT
33454,Honda, HRV,"£16,136",2020,Manual,54.3 mpg,Tax: £180,"Mileage: 35,398",Diesel,white,V 1.6 i-DTEC EX 5dr
33455,Honda, Jazz,"£13,197",2019,Automatic,47.9 mpg,Tax: £180,"Mileage: 26,381",Petrol,white,z 1.3 i-VTEC SE 5dr CVT
33456,Honda, HRV,"£25,895",2022,Automatic,52.3 mpg,Tax: £170,"Mileage: 5,415",Hybrid,white,V 1.5 eHEV Advance 5dr CVT
33457,Honda, Civic,"£29,395",2022,Automatic,56.5 mpg,Tax: £170,"Mileage: 9,325",Hybrid,white,c 2.0 eHEV Sport 5dr CVT
33458,Honda, CRV,"£19,890",2018,Automatic,37.7 mpg,Tax: £180,"Mileage: 12,532",Petrol,white,V 2.0 i-VTEC SE Plus 5dr Auto [Nav]
33459,Honda, Jazz,"£19,190",2020,Automatic,61.4 mpg,Tax: £170,"Mileage: 12,739",Hybrid,white,z 1.5 i-MMD Hybrid EX 5dr eCVT
33460,Honda, CRV,"£19,490",2018,Automatic,36.7 mpg,Tax: £180,"Mileage: 27,415",Petrol,white,V 2.0 i-VTEC EX 5dr Auto
33461,Honda, Civic,"£13,990",2017,Manual,48.7 mpg,Tax: £180,"Mileage: 48,500",Petrol,white,c 1.5 VTEC Turbo Sport Plus 5dr
33462,Honda, CRV,"£27,290",2021,Automatic,39.2 mpg,Tax: £170,"Mileage: 27,405",Hybrid,white,V 2.0 i-MMD Hybrid EX 5dr eCVT
33548,Honda, Civic,"£16,650",2018,Manual,50.4 mpg,Tax: £180,"Mileage: 30,279",Petrol,white,c 1.5 VTEC Turbo Sport Plus 5dr
33549,Honda, HRV,"£16,857",2017,Automatic,52.3 mpg,Tax: £180,"Mileage: 10,977",Petrol,white,V 1.5 i-VTEC EX CVT 5dr
33550,Honda, Jazz,"£18,717",2020,Automatic,61.4 mpg,Tax: £170,"Mileage: 20,855",Hybrid,white,z 1.5 i-MMD Hybrid EX 5dr eCVT
33551,Honda, CRV,"£30,000",2022,Automatic,39.8 mpg,Tax: £170,"Mileage: 10,640",Hybrid,white,V 2.0 i-MMD Hybrid SR 5dr eCVT
33552,Honda, Civic,"£13,492",2019,Manual,58.9 mpg,Tax: £180,"Mileage: 40,444",Petrol,white,c 1.0 VTEC Turbo 126 SR 5dr
33553,Honda, HRV,"£15,436",2019,Automatic,41.5 mpg,Tax: £180,"Mileage: 38,945",Petrol,white,V 1.5 i-VTEC SE CVT 5dr
33554,Honda, CRV,"£24,136",2021,Automatic,39.8 mpg,Tax: £170,"Mileage: 25,339",Hybrid,white,V 2.0 i-MMD Hybrid SR 5dr eCVT
33555,Honda, Jazz,"£15,970",2021,Automatic,61.4 mpg,Tax: £170,"Mileage: 57,435",Hybrid,white,z 1.5 i-MMD Hybrid EX 5dr eCVT
33556,Honda, Civic,"£14,757",2018,Automatic,47.1 mpg,Tax: £180,"Mileage: 59,215",Petrol,white,c 1.5 VTEC Turbo Sport Plus 5dr CVT
33557,Honda, Jazz,"£13,197",2019,Automatic,47.9 mpg,Tax: £180,"Mileage: 26,381",Petrol,white,z 1.3 i-VTEC SE 5dr CVT
33637,Honda, Civic,"£20,857",2020,Automatic,47.1 mpg,Tax: £180,"Mileage: 47,369",Petrol,white,c 1.5 VTEC Turbo Prestige 5dr CVT
33638,Honda, HRV,"£30,350",2023,Automatic,52.3 mpg,Tax: n/a,Mileage: 8,Hybrid,white,1.5 i-MMD (131ps) Advance eCVT 5-Door
33639,Honda, Jazz,"£20,850",2022,Automatic,62.8 mpg,Tax: £170,"Mileage: 4,838",Hybrid,white,1.5 i-MMD (109ps) SR eCVT
33640,Honda, Jazz,"£19,499",2020,Automatic,61.4 mpg,Tax: £170,"Mileage: 6,466",Hybrid,white,z 1.5 i-MMD Hybrid EX 5dr eCVT
33641,Honda, CRV,"£21,383",2019,Automatic,53.3 mpg,Tax: £170,"Mileage: 29,136",Hybrid,white,V 2.0 i-MMD Hybrid SR 2WD 5dr eCVT
33642,Honda, Jazz,"£19,999",2022,Automatic,62.8 mpg,Tax: £170,Mileage: 595,Hybrid,white,z 1.5 i-MMD Hybrid SE 5dr eCVT
33643,Honda, Jazz,"£19,500",2021,Automatic,62.8 mpg,Tax: £170,"Mileage: 9,092",Hybrid,white,z 1.5 i-MMD Hybrid SR 5dr eCVT
33644,Honda, Jazz,"£20,750",2021,Automatic,62.8 mpg,Tax: £170,"Mileage: 18,343",Hybrid,white,z 1.5 i-MMD Hybrid SR 5dr eCVT
33645,Honda, Jazz,"£12,230",2018,Automatic,57.6 mpg,Tax: £180,"Mileage: 40,000",Petrol,white,1.3 I-VTEC EX 5d AUTO 101 BHP
33646,Honda, Jazz,"£21,490",2021,Automatic,61.4 mpg,Tax: £170,"Mileage: 3,491",Hybrid,white,z 1.5 i-MMD Hybrid EX 5dr eCVT
33731,Honda, Civic,"£29,750",2022,Automatic,56.5 mpg,Tax: £170,"Mileage: 7,846",Hybrid,white,c 2.0 eHEV Sport 5dr CVT
33732,Honda, HRV,"£25,390",2022,Automatic,52.3 mpg,Tax: £170,"Mileage: 11,550",Hybrid,white,V 1.5 eHEV Advance 5dr CVT
33733,Honda, CRV,"£25,490",2022,Automatic,42.8 mpg,Tax: £170,"Mileage: 15,141",Hybrid,white,V 2.0 i-MMD Hybrid SE 2WD 5dr eCVT
33734,Honda, HRV,"£17,440",2019,Manual,42.2 mpg,Tax: £180,"Mileage: 23,103",Petrol,white,V 1.5 i-VTEC EX 5dr
33735,Honda, HRV,"£17,990",2020,Manual,42.2 mpg,Tax: £180,"Mileage: 32,501",Petrol,white,V 1.5 i-VTEC EX 5dr
33736,Honda, HRV,"£25,000",2021,Automatic,52.3 mpg,Tax: £170,"Mileage: 5,912",Hybrid,white,V 1.5 eHEV Elegance 5dr CVT
33737,Honda, Civic,"£30,378",2022,Automatic,56.5 mpg,Tax: £170,"Mileage: 15,527",Hybrid,white,c 2.0 eHEV Advance 5dr CVT
33738,Honda, CRV,"£24,916",2020,Automatic,51.4 mpg,Tax: £170,"Mileage: 20,444",Hybrid,white,V 2.0 i-MMD Hybrid SR 5dr eCVT
33739,Honda, Civic,"£13,599",2019,Manual,58.9 mpg,Tax: £180,"Mileage: 27,875",Petrol,white,1.0 VTEC Turbo SR Euro 6 (s/s) 5dr
33740,Honda, HRV,"£12,000",2017,Manual,68.9 mpg,Tax: £180,"Mileage: 61,287",Diesel,white,1.6 i-DTEC EX 5dr (Navigation)
33823,Honda, Civic,"£16,995",2017,Manual,48.7 mpg,Tax: £180,"Mileage: 30,000",Petrol,white,1.5 VTEC Turbo Sport 5dr
33824,Honda, Civic,"£12,500",2018,Manual,55.4 mpg,Tax: £180,"Mileage: 29,779",Petrol,white,c 1.0 VTEC Turbo SR 5dr
33825,Honda, Jazz,"£20,990",2021,Automatic,61.4 mpg,Tax: £170,"Mileage: 4,808",Hybrid,white,z 1.5 i-MMD Hybrid EX 5dr eCVT
33826,Honda, Jazz,"£10,495",2019,Manual,48.7 mpg,Tax: £180,"Mileage: 35,317",Petrol,white,1.3 i-VTEC S 5dr
33827,Honda, Jazz,"£20,980",2023,Automatic,62.8 mpg,Tax: £170,"Mileage: 2,936",Hybrid,white,z 1.5 i-MMD Hybrid SR 5dr eCVT
33828,Honda, Civic,"£17,759",2021,Manual,46.3 mpg,Tax: £180,"Mileage: 27,612",Petrol,white,1.5 VTEC Turbo Sport Hatchback 5dr Petrol Manual Euro 6 (s/s) (182 ps)
33829,Honda, HRV,"£30,350",2023,Automatic,52.3 mpg,Tax: n/a,Mileage: 100,Hybrid,white,1.5 i-MMD (131ps) Advance eCVT 5-Door
33830,Honda, HRV,"£30,350",2023,Automatic,52.3 mpg,Tax: n/a,Mileage: 100,Hybrid,white,1.5 i-MMD (131ps) Advance eCVT 5-Door
33831,Honda, HRV,"£27,491",2023,Automatic,52.3 mpg,Tax: £170,"Mileage: 3,701",Hybrid,white,1.5 i-MMD (131ps) Advance eCVT 5-Door
33832,Honda, Jazz,"£21,291",2020,Automatic,61.4 mpg,Tax: £170,"Mileage: 5,981",Hybrid,white,1.5 i-MMD (107ps) EX
33912,Honda, Civic,"£13,100",2017,Automatic,56.5 mpg,Tax: £180,"Mileage: 12,077",Petrol,white,1.0 VTEC Turbo SR CVT Euro 6 (s/s) 5dr
33913,Honda, HRV,"£26,691",2023,Automatic,52.3 mpg,Tax: £170,"Mileage: 13,409",Hybrid,white,1.5 i-MMD (131ps) Advance eCVT 5-Door
33914,Honda, CRV,"£26,491",2021,Automatic,39.8 mpg,Tax: £170,"Mileage: 13,515",Hybrid,white,2.0 i-MMD (184ps) SR 5-Door
33915,Honda, HRV,"£20,491",2020,Automatic,41.5 mpg,Tax: £180,"Mileage: 20,244",Petrol,white,1.5 i-VTEC EX (s/s) 5-Door
33916,Honda, Jazz,"£19,291",2020,Automatic,58.9 mpg,Tax: £170,"Mileage: 27,241",Hybrid,white,1.5 i-MMD (107ps) Crosstar EX
33917,Honda, HRV,"£24,001",2022,Automatic,52.3 mpg,Tax: £170,"Mileage: 9,001",Hybrid,white,V 1.5 eHEV Elegance 5dr CVT
33918,Honda, Jazz,"£21,242",2021,Automatic,61.4 mpg,Tax: £170,"Mileage: 3,037",Hybrid,white,z 1.5 i-MMD Hybrid EX 5dr eCVT
33919,Honda, Jazz,"£20,488",2021,Automatic,61.4 mpg,Tax: £155,"Mileage: 7,267",Hybrid,white,z 1.5 i-MMD Hybrid EX 5dr eCVT
33920,Honda, Jazz,"£19,729",2021,Automatic,61.4 mpg,Tax: £170,"Mileage: 22,227",Hybrid,white,z 1.5 i-MMD Hybrid EX 5dr eCVT
33921,Honda, Jazz,"£18,991",2022,Automatic,62.8 mpg,Tax: £170,"Mileage: 21,401",Hybrid,white,z 1.5 i-MMD Hybrid SR 5dr eCVT
34007,Honda, HRV,"£20,391",2019,Automatic,41.5 mpg,Tax: £180,"Mileage: 23,341",Petrol,white,V 1.5 i-VTEC EX CVT 5dr
34008,Honda, CRV,"£24,691",2020,Automatic,51.4 mpg,Tax: £170,"Mileage: 46,277",Hybrid,white,V 2.0 i-MMD Hybrid EX 5dr eCVT
